year_month,hemo_visits,peri_visits,hemo_patients,peri_ratio
110-01,2790,50,185,0.017605633802816902
110-02,2599,48,185,0.018133736305251228
110-03,2906,48,185,0.016249153689911984
110-04,2687,48,185,0.017550274223034734
110-05,2799,47,185,0.01651440618411806
110-06,2778,47,185,0.01663716814159292
110-07,2818,48,185,0.01674808094905792
110-08,2831,49,185,0.017013888888888887
110-09,2785,47,185,0.016596045197740113
110-10,2786,46,185,0.016242937853107344
110-11,2862,48,185,0.016494845360824743
110-12,2967,47,185,0.015593895155938951
111-01,2817,48,185,0.016753926701570682
111-02,2598,47,185,0.01776937618147448
111-03,2917,46,185,0.015524805939925751
111-04,2898,45,185,0.01529051987767584
111-05,2867,45,185,0.015453296703296704
111-06,2851,46,185,0.01587849499482223
111-07,2896,45,185,0.015300918055083304
111-08,2932,45,185,0.015115888478333893
111-09,2787,47,185,0.016584333098094567
111-10,2765,48,185,0.017063633131887666
111-11,2784,46,185,0.01625441696113074
111-12,2863,46,185,0.015812994156067378
112-01,2795,45,185,0.01584507042253521
112-02,2643,46,185,0.017106731126812942
112-03,3004,46,185,0.015081967213114755
112-04,2574,46,185,0.017557251908396947
112-05,2838,46,185,0.0159500693481276
112-06,2759,45,185,0.016048502139800285
112-07,2804,44,185,0.01544943820224719
112-08,2798,44,185,0.015482054890921885
112-09,2638,43,185,0.016038791495710556
112-10,2664,42,185,0.015521064301552107
112-11,2655,41,185,0.015207715133531157
112-12,2596,39,185,0.014800759013282733
113-01,2774,39,185,0.013864201919658727
113-02,2557,39,185,0.015023112480739599
113-03,2668,37,185,0.01367837338262477
113-04,2627,37,185,0.013888888888888888
113-05,2679,36,185,0.013259668508287293
113-06,2405,36,185,0.014748054076198279
113-07,2677,36,185,0.013269443420567637
113-08,2559,37,185,0.014252696456086287
113-09,2370,37,185,0.015371832156211051
113-10,2557,37,185,0.014263685427910563
113-11,2594,38,185,0.014437689969604863
113-12,2580,38,185,0.014514896867838044
114-01,2758,36,185,0.012884753042233358
114-02,2433,37,185,0.014979757085020242
114-03,2595,37,185,0.01405775075987842
114-04,2570,38,185,0.014570552147239263
114-05,2627,38,185,0.01425891181988743
114-06,2478,38,185,0.015103338632750398
